tid;type;receiverPort;reqIdInternal;Round;startWalltime;duration
pool-15-thread-1;HALTED;-1;34;3;1675070565958;2.744084
pool-15-thread-1;INITIALIZATION;-1;35;0;1675070566068;3.675625
pool-15-thread-1;APPROXIMATION;-1;35;1;1675070566073;4.372917
pool-15-thread-1;APPROXIMATION;-1;35;2;1675070566078;4.017666
pool-15-thread-1;HALTED;-1;35;3;1675070566082;4.124625
pool-15-thread-1;INITIALIZATION;-1;36;0;1675070566193;4.331584
pool-15-thread-1;APPROXIMATION;-1;36;1;1675070566200;4.320166
pool-15-thread-1;APPROXIMATION;-1;36;2;1675070566205;3.529875
pool-15-thread-1;HALTED;-1;36;3;1675070566208;4.523
pool-15-thread-1;INITIALIZATION;-1;37;0;1675070566319;3.975833
pool-15-thread-1;APPROXIMATION;-1;37;1;1675070566324;3.753125
pool-15-thread-1;APPROXIMATION;-1;37;2;1675070566329;3.8095
pool-15-thread-1;HALTED;-1;37;3;1675070566333;2.839084
pool-15-thread-1;INITIALIZATION;-1;38;0;1675070566442;6.602958
pool-15-thread-1;APPROXIMATION;-1;38;1;1675070566450;3.921834
pool-15-thread-1;APPROXIMATION;-1;38;2;1675070566454;5.782833
pool-15-thread-1;HALTED;-1;38;3;1675070566460;2.580959
pool-15-thread-1;INITIALIZATION;-1;39;0;1675070566569;4.285834
pool-15-thread-1;APPROXIMATION;-1;39;1;1675070566574;3.888042
pool-15-thread-1;APPROXIMATION;-1;39;2;1675070566579;4.206542
pool-15-thread-1;HALTED;-1;39;3;1675070566583;3.45775
pool-15-thread-1;INITIALIZATION;-1;40;0;1675070566693;3.419042
pool-15-thread-1;APPROXIMATION;-1;40;1;1675070566697;3.112583
pool-15-thread-1;APPROXIMATION;-1;40;2;1675070566701;3.947
pool-15-thread-1;HALTED;-1;40;3;1675070566706;3.175292
pool-15-thread-1;INITIALIZATION;-1;41;0;1675070566810;3.905959
pool-15-thread-1;APPROXIMATION;-1;41;1;1675070566816;4.882416
pool-15-thread-1;APPROXIMATION;-1;41;2;1675070566821;4.805416
pool-15-thread-1;HALTED;-1;41;3;1675070566826;4.66925
pool-15-thread-1;INITIALIZATION;-1;42;0;1675070566936;4.765167
pool-15-thread-1;APPROXIMATION;-1;42;1;1675070566941;4.451708
pool-15-thread-1;APPROXIMATION;-1;42;2;1675070566946;4.7625
pool-15-thread-1;HALTED;-1;42;3;1675070566952;3.981667
pool-15-thread-1;INITIALIZATION;-1;43;0;1675070567067;17.996916
pool-15-thread-1;APPROXIMATION;-1;43;1;1675070567087;5.1565
pool-15-thread-1;APPROXIMATION;-1;43;2;1675070567094;5.670917
pool-15-thread-1;HALTED;-1;43;3;1675070567100;3.688625
pool-15-thread-1;INITIALIZATION;-1;44;0;1675070567211;4.441584
pool-15-thread-1;APPROXIMATION;-1;44;1;1675070567217;6.80075
pool-15-thread-1;APPROXIMATION;-1;44;2;1675070567227;7.2615
pool-15-thread-1;HALTED;-1;44;3;1675070567254;2.526375
pool-15-thread-1;INITIALIZATION;-1;45;0;1675070567401;61.328542
pool-15-thread-1;APPROXIMATION;-1;45;1;1675070567465;2.785667
pool-15-thread-1;APPROXIMATION;-1;45;2;1675070567469;3.065792
pool-15-thread-1;HALTED;-1;45;3;1675070567474;4.712458
pool-15-thread-1;INITIALIZATION;-1;46;0;1675070567584;3.318125
pool-15-thread-1;APPROXIMATION;-1;46;1;1675070567588;3.578584
pool-15-thread-1;APPROXIMATION;-1;46;2;1675070567593;3.760625
