Id;StartingWallTime;Texec;expectedH;realH;neededMessages;processedMessages
90;2023-01-31T15:52:02.183792256;7.928218;9;9;60;77
91;2023-01-31T15:52:02.291842120;5.875637;9;9;60;77
92;2023-01-31T15:52:02.397831444;5.885753;9;9;60;77
93;2023-01-31T15:52:02.503826340;5.890296;9;9;60;77
94;2023-01-31T15:52:02.609828586;5.440598;9;9;60;77
95;2023-01-31T15:52:02.715389961;5.488981;9;9;60;77
96;2023-01-31T15:52:02.821002727;5.26722;9;9;60;77
97;2023-01-31T15:52:02.926376927;5.234676;9;9;60;77
98;2023-01-31T15:52:03.031735492;6.19104;9;9;60;77
99;2023-01-31T15:52:03.138045539;5.552882;9;9;60;77
100;2023-01-31T15:52:03.243726419;5.865397;9;9;60;77
101;2023-01-31T15:52:03.349715278;5.503654;9;9;60;77
102;2023-01-31T15:52:03.455352594;5.613274;9;9;60;77
103;2023-01-31T15:52:03.561090081;5.583691;9;9;60;77
104;2023-01-31T15:52:03.666786600;5.609582;9;9;60;77
105;2023-01-31T15:52:03.772497698;4.950334;9;9;60;77
106;2023-01-31T15:52:03.877567150;5.756161;9;9;60;77
107;2023-01-31T15:52:03.983437850;5.275063;9;9;60;77
108;2023-01-31T15:52:04.088848764;6.280627;9;9;60;77
109;2023-01-31T15:52:04.195242464;4.574298;9;9;60;77
110;2023-01-31T15:52:04.299961782;5.772328;9;9;60;77
111;2023-01-31T15:52:04.405855029;6.051167;9;9;60;77
112;2023-01-31T15:52:04.512030848;6.696289;9;9;60;77
113;2023-01-31T15:52:04.618869690;5.635433;9;9;60;77
114;2023-01-31T15:52:04.724634455;6.226587;9;9;60;77
115;2023-01-31T15:52:04.830983799;6.541943;9;9;60;77
116;2023-01-31T15:52:04.937653939;5.855744;9;9;60;77
117;2023-01-31T15:52:05.043641580;5.395121;9;9;60;77
118;2023-01-31T15:52:05.149165068;5.664118;9;9;60;77
119;2023-01-31T15:52:05.254953582;5.701965;9;9;60;77
120;2023-01-31T15:52:05.360785689;5.844694;9;9;60;77
121;2023-01-31T15:52:05.466751650;5.46533;9;9;60;77
122;2023-01-31T15:52:05.572355267;5.545898;9;9;60;77
123;2023-01-31T15:52:05.678023710;5.640409;9;9;60;77
124;2023-01-31T15:52:05.783773853;8.774981;9;9;60;77
