Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages
150;4.288941;7;7;0;36;42
151;3.320603;7;7;0;36;42
152;4.050538;7;7;0;36;42
153;3.78173;7;7;0;36;42
154;3.985124;7;7;0;36;42
155;3.772647;7;7;0;36;42
156;4.503152;7;7;0;36;42
157;3.75711;7;7;0;36;42
158;3.458308;7;7;0;36;42
159;4.518972;7;7;0;36;42
160;4.365178;7;7;0;36;42
161;3.1383;7;7;0;36;42
162;3.38976;7;7;0;36;42
163;3.959175;7;7;0;36;42
164;4.194431;7;7;0;36;42
165;3.029727;7;7;0;36;42
166;3.77382;7;7;0;36;42
167;3.315083;7;7;0;36;42
168;3.664585;7;7;0;36;42
169;2.991023;7;7;0;36;42
170;2.873219;7;7;0;36;42
171;3.667443;7;7;0;36;42
172;3.006192;7;7;0;36;42
173;2.942679;7;7;0;36;42
174;6.315327;7;7;0;36;42
175;2.851536;7;7;0;36;42
176;3.077529;7;7;0;36;42
177;3.025115;7;7;0;36;42
178;3.019611;7;7;0;36;42
179;3.081161;7;7;0;36;42
180;3.537525;7;7;0;36;42
181;2.931193;7;7;0;36;42
182;2.843747;7;7;0;36;42
183;3.892682;7;7;0;36;42
184;3.146941;7;7;0;36;42
185;3.071272;7;7;0;36;42
186;2.69201;7;7;0;36;42
187;4.103011;7;7;0;36;42
188;3.065493;7;7;0;36;42
189;3.316063;7;7;0;36;42
190;2.93142;7;7;0;36;42
191;2.837144;7;7;0;36;42
192;3.300831;7;7;0;36;42
193;3.21102;7;7;0;36;42
194;2.599456;7;7;0;36;42
195;2.910376;7;7;0;36;42
196;2.924994;7;7;0;36;42
197;3.572827;7;7;0;36;42
198;2.668392;7;7;0;36;42
199;2.510033;7;7;0;36;42
200;3.248998;7;7;0;36;42
201;3.061629;7;7;0;36;42
202;2.894918;7;7;0;36;42
203;2.872425;7;7;0;36;42
204;2.878746;7;7;0;36;42
205;2.744822;7;7;0;36;42
206;2.809036;7;7;0;36;42
207;3.624264;7;7;0;36;42
208;3.130489;7;7;0;36;42
209;2.542472;7;7;0;36;42
210;2.52435;7;7;0;36;42
211;2.960222;7;7;0;36;42
212;2.511346;7;7;0;36;42
213;2.830787;7;7;0;36;42
214;3.457487;7;7;0;36;42
215;2.451281;7;7;0;36;42
216;3.516879;7;7;0;36;42
217;2.309057;7;7;0;36;42
218;2.427313;7;7;0;36;42
219;2.349822;7;7;0;36;42
220;5.00004;7;7;0;36;42
221;2.636106;7;7;0;36;42
222;3.475575;7;7;0;36;42
223;3.090827;7;7;0;36;42
224;3.317735;7;7;0;36;42
225;5.598815;7;7;0;36;42
226;2.510208;7;7;0;36;42
227;2.74174;7;7;0;36;42
228;2.784514;7;7;0;36;42
229;3.953653;7;7;0;36;42
230;2.582625;7;7;0;36;42
231;2.60429;7;7;0;36;42
232;2.818572;7;7;0;36;42
233;2.570202;7;7;0;36;42
234;2.729013;7;7;0;36;42
235;2.902111;7;7;0;36;42
236;2.671005;7;7;0;36;42
237;3.049595;7;7;0;36;42
238;3.016593;7;7;0;36;42
239;2.391129;7;7;0;36;42
240;2.589302;7;7;0;36;42
241;2.575632;7;7;0;36;42
242;4.03532;7;7;0;36;42
243;2.624919;7;7;0;36;42
244;2.488481;7;7;0;36;42
245;2.730343;7;7;0;36;42
246;2.39042;7;7;0;36;42
247;3.295414;7;7;0;36;42
248;2.401699;7;7;0;36;42
249;2.552847;7;7;0;36;42
250;2.669161;7;7;0;36;42
251;4.213613;7;7;0;36;42
252;3.029149;7;7;0;36;42
253;2.957288;7;7;0;36;42
254;2.630599;7;7;0;36;42
255;3.850432;7;7;0;36;42
256;4.725036;7;7;0;36;42
257;2.446871;7;7;0;36;42
258;3.33023;7;7;0;36;42
259;2.524829;7;7;0;36;42
260;2.839817;7;7;0;36;42
261;2.216555;7;7;0;36;42
262;4.204283;7;7;0;36;42
263;2.495926;7;7;0;36;42
264;2.730494;7;7;0;36;42
265;2.414592;7;7;0;36;42
266;2.571592;7;7;0;36;42
267;2.314087;7;7;0;36;42
268;2.205846;7;7;0;36;42
269;3.332272;7;7;0;36;42
270;2.397913;7;7;0;36;42
271;2.877326;7;7;0;36;42
272;2.380094;7;7;0;36;42
273;2.425707;7;7;0;36;42
274;3.930408;7;7;0;36;42
275;2.85563;7;7;0;36;42
276;2.519159;7;7;0;36;42
277;2.891095;7;7;0;36;42
278;3.223037;7;7;0;36;42
279;2.231168;7;7;0;36;42
280;4.917869;7;7;0;36;42
281;2.943354;7;7;0;36;42
282;3.067446;7;7;0;36;42
283;2.307825;7;7;0;36;42
284;2.390708;7;7;0;36;42
285;2.574272;7;7;0;36;42
286;2.72552;7;7;0;36;42
287;2.28183;7;7;0;36;42
288;2.228114;7;7;0;36;42
289;2.225941;7;7;0;36;42
290;2.341597;7;7;0;36;42
291;2.435003;7;7;0;36;42
292;2.418405;7;7;0;36;42
293;2.308046;7;7;0;36;42
294;2.293171;7;7;0;36;42
295;2.47434;7;7;0;36;42
296;3.454482;7;7;0;36;42
297;2.335678;7;7;0;36;42
298;2.570389;7;7;0;36;42
299;3.369863;7;7;0;36;42
