StartingWallTime;Texec;expectedH;realH
2023-01-02T21:20:30.725427355;4.833743;8;8
2023-01-02T21:20:30.830328346;3.986985;8;8
2023-01-02T21:20:30.934376990;4.351838;8;8
2023-01-02T21:20:31.038790356;52.053187;8;8
2023-01-02T21:20:31.190903962;5.116025;8;8
2023-01-02T21:20:31.296081005;44.703213;8;8
2023-01-02T21:20:31.440845686;4.169267;8;8
2023-01-02T21:20:31.545081331;4.599321;8;8
2023-01-02T21:20:31.649773720;51.16766;8;8
2023-01-02T21:20:31.801000698;5.458448;8;8
2023-01-02T21:20:31.906527155;44.098497;8;8
2023-01-02T21:20:32.050684310;4.50289;8;8
2023-01-02T21:20:32.155254978;4.886703;8;8
2023-01-02T21:20:32.260204090;5.237466;8;8
2023-01-02T21:20:32.365503584;5.134015;8;8
2023-01-02T21:20:32.470702028;5.085094;8;8
2023-01-02T21:20:32.575848641;4.487959;8;8
2023-01-02T21:20:32.680397879;51.686513;8;8
2023-01-02T21:20:32.832157501;5.087195;8;8
2023-01-02T21:20:32.937306704;4.404209;8;8
2023-01-02T21:20:33.041776071;49.228793;8;8
2023-01-02T21:20:33.191067892;5.442938;8;8
2023-01-02T21:20:33.296572868;4.45768;8;8
2023-01-02T21:20:33.401090986;49.732797;8;8
2023-01-02T21:20:33.550884791;3.967685;8;8
2023-01-02T21:20:33.654915484;3.964505;8;8
2023-01-02T21:20:33.758946438;51.639793;8;8
2023-01-02T21:20:33.910646630;3.905414;8;8
2023-01-02T21:20:34.014613022;4.115237;8;8
2023-01-02T21:20:34.118790557;3.902714;8;8
2023-01-02T21:20:34.222756230;3.825823;8;8
2023-01-02T21:20:34.326642612;43.960806;8;8
2023-01-02T21:20:34.470660826;4.50273;8;8
2023-01-02T21:20:34.575223004;4.140737;8;8
2023-01-02T21:20:34.679425999;4.332738;8;8
2023-01-02T21:20:34.783821766;4.772061;8;8
2023-01-02T21:20:34.888654316;51.918606;8;8
2023-01-02T21:20:35.040632620;4.139657;8;8
2023-01-02T21:20:35.144839685;46.082745;8;8
2023-01-02T21:20:35.290982398;3.911054;8;8
2023-01-02T21:20:35.394957031;4.59074;8;8
2023-01-02T21:20:35.499610290;51.144099;8;8
2023-01-02T21:20:35.650816007;3.764903;8;8
2023-01-02T21:20:35.754642269;5.127365;8;8
2023-01-02T21:20:35.859833282;5.518529;8;8
2023-01-02T21:20:35.965414379;45.341788;8;8
2023-01-02T21:20:36.110816386;4.344728;8;8
2023-01-02T21:20:36.215224052;4.054006;8;8
2023-01-02T21:20:36.319341337;4.064825;8;8
2023-01-02T21:20:36.423468311;4.925093;8;8
2023-01-02T21:20:36.528454942;8.455105;8;8
2023-01-02T21:20:36.636977815;5.099245;8;8
2023-01-02T21:20:36.742136048;4.189147;8;8
2023-01-02T21:20:36.846387744;4.149586;8;8
2023-01-02T21:20:36.950599129;3.927834;8;8
2023-01-02T21:20:37.054588812;4.6325;8;8
2023-01-02T21:20:37.159284391;51.24225;8;8
2023-01-02T21:20:37.310589819;4.219887;8;8
2023-01-02T21:20:37.414873005;3.790193;8;8
2023-01-02T21:20:37.518724786;4.094416;8;8
2023-01-02T21:20:37.622881211;4.335158;8;8
2023-01-02T21:20:37.727277067;43.19372;8;8
2023-01-02T21:20:37.870533005;3.524251;8;8
2023-01-02T21:20:37.974117785;4.153166;8;8
2023-01-02T21:20:38.078337199;52.225649;8;8
2023-01-02T21:20:38.230621037;3.514391;8;8
2023-01-02T21:20:38.334197016;3.544291;8;8
2023-01-02T21:20:38.437802435;5.756361;8;8
2023-01-02T21:20:38.543634665;72.661068;8;8
2023-01-02T21:20:38.716357721;4.624771;8;8
2023-01-02T21:20:38.821047410;49.550085;8;8
2023-01-02T21:20:38.970660214;4.282277;8;8
2023-01-02T21:20:39.075002330;3.961794;8;8
2023-01-02T21:20:39.179023053;3.930994;8;8
