Id;StartingWallTime;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV;realTimeAtEnding
59;2023-03-05T16:39:20.894148000;1.50510708E8;39;39;0;266;273;1.27908810047958E14;1.2779958663668573E14;1.27898960550625E14
60;2023-03-05T16:39:22.047479000;2.39295416E8;39;39;0;266;273;1.27889963428208E14;1.2780084210936448E14;1.27900202707166E14
61;2023-03-05T16:39:23.291905000;9.9536833E7;39;39;0;266;273;1.27911207900333E14;1.2780193367592961E14;1.27901307430208E14
62;2023-03-05T16:39:24.397182000;1.2809975E8;39;39;0;266;273;1.278923132175E14;1.2780308179970562E14;1.27902441309458E14
63;2023-03-05T16:39:25.531594000;1.19612208E8;39;39;0;266;273;1.27913447675166E14;1.2780419052892466E14;1.27903567278458E14
64;2023-03-05T16:39:26.656312000;1.17790958E8;39;39;0;266;273;1.27894572439791E14;1.2780532852360344E14;1.27904690221583E14
65;2023-03-05T16:39:27.779930000;1.44199209E8;39;39;0;266;273;1.27915696102291E14;1.2780646173143136E14;1.27905840292875E14
66;2023-03-05T16:39:28.925090000;9.5401E7;39;39;0;266;273;1.27896841308875E14;1.2780757301218219E14;1.27906936698666E14
67;2023-03-05T16:39:30.025629000;1.49161417E8;39;39;0;266;273;1.27917941890041E14;1.2780870930404552E14;1.27908091041541E14
68;2023-03-05T16:39:31.179905000;1.25474E8;39;39;0;266;273;1.27899096206958E14;1.2780985178785962E14;1.27909221672791E14
69;2023-03-05T16:39:32.310672000;8.4168875E7;39;39;0;266;273;1.27920227022E14;1.2781093012495527E14;1.27910311181291E14
70;2023-03-05T16:39:33.399945000;1.61051541E8;39;39;0;266;273;1.2790131633225E14;1.2781210597259947E14;1.27911477374708E14
71;2023-03-05T16:39:34.566112000;1.247585E8;39;39;0;266;273;1.27922482545125E14;1.278132236806375E14;1.27912607296458E14
72;2023-03-05T16:39:35.696014000;2.09753459E8;39;39;0;266;273;1.27903612494625E14;1.2781445359859181E14;1.27913822239708E14
73;2023-03-05T16:39:36.910871000;1.45287542E8;39;39;0;266;273;1.27924827396125E14;1.2781558755404005E14;1.27914972675458E14
74;2023-03-05T16:39:38.061316000;1.47036458E8;39;39;0;266;273;1.27905977888333E14;1.2781675407030205E14;1.27916124917166E14
75;2023-03-05T16:39:39.213460000;1.96731958E8;39;39;0;266;273;1.27927130074708E14;1.2781793953797814E14;1.27917326799375E14
76;2023-03-05T16:39:40.414064000;1.35807209E8;39;39;0;266;273;1.27908330725416E14;1.2781909430537717E14;1.27918466525083E14
77;2023-03-05T16:39:41.554973000;1.1661E8;39;39;0;266;273;1.27929471679458E14;1.2782019976088981E14;1.27919588282333E14
78;2023-03-05T16:39:42.676742000;1.34836E8;39;39;0;266;273;1.27910593495416E14;1.2782135293019608E14;1.27920728322666E14
79;2023-03-05T16:39:43.819688000;1.20541458E8;39;39;0;266;273;1.27931736481625E14;1.2782246409269239E14;1.27921857013125E14
80;2023-03-05T16:39:44.945938000;1.15571667E8;39;39;0;266;273;1.27912862779708E14;1.2782360289354194E14;1.27922978341041E14
81;2023-03-05T16:39:46.066512000;1.1641175E8;39;39;0;266;273;1.27933983393541E14;1.2782470652488178E14;1.27924099797E14
82;2023-03-05T16:39:47.196064000;1.10039292E8;39;39;0;266;273;1.27915112991333E14;1.2782584534741889E14;1.2792522302275E14
83;2023-03-05T16:39:48.311226000;1.21910666E8;39;39;0;266;273;1.27936228199083E14;1.278269558804216E14;1.279263501E14
84;2023-03-05T16:39:49.438287000;1.42416125E8;39;39;0;266;273;1.27917355305916E14;1.278281184321968E14;1.27927497713416E14
85;2023-03-05T16:39:50.582690000;1.20072041E8;39;39;0;266;273;1.27938499748125E14;1.2782922431514864E14;1.27928619770458E14
86;2023-03-05T16:39:51.706493000;1.21388541E8;39;39;0;266;273;1.27919623609E14;1.2783036373213094E14;1.27929744979083E14
87;2023-03-05T16:39:52.833052000;8.5674042E7;39;39;0;266;273;1.27940750198583E14;1.2783143848364962E14;1.27930835865125E14
88;2023-03-05T16:39:53.926724000;1.38435208E8;39;39;0;266;273;1.279218439135E14;1.2783259967261806E14;1.27931982341833E14
89;2023-03-05T16:39:55.070254000;1.43165458E8;39;39;0;266;273;1.2794298748775E14;1.2783372691475042E14;1.27933130642916E14
90;2023-03-05T16:39:56.227786000;1.41749E8;39;39;0;266;273;1.27924145063083E14;1.2783489783634456E14;1.27934286800166E14
91;2023-03-05T16:39:57.370026000;9.9112708E7;39;39;0;266;273;1.2794528734875E14;1.2783598478957631E14;1.27935386452541E14
92;2023-03-05T16:39:58.476155000;3.09379417E8;39;39;0;266;273;1.27926393521833E14;1.2783730631853853E14;1.27936702890041E14
93;2023-03-05T16:39:59.787033000;2.34879167E8;39;39;0;266;273;1.27947704449875E14;1.2783852359797889E14;1.27937939316583E14
94;2023-03-05T16:40:01.027275000;2.195305E8;39;39;0;266;273;1.27928944740875E14;1.2783976820427114E14;1.27939164262708E14
95;2023-03-05T16:40:02.252394000;3.57000375E8;39;39;0;266;273;1.2795016990775E14;1.278411190045371E14;1.27940526896333E14
96;2023-03-05T16:40:03.626800000;3.18582125E8;39;39;0;266;273;1.27931544367708E14;1.2784246229903877E14;1.27941862939625E14
97;2023-03-05T16:40:04.947708000;1.37943125E8;39;39;0;266;273;1.2795286532675E14;1.2784359141334017E14;1.27943003257E14
98;2023-03-05T16:40:06.090926000;9.4701167E7;39;39;0;266;273;1.27934008590291E14;1.2784471086549461E14;1.27944103282625E14
99;2023-03-05T16:40:07.190821000;1.19113375E8;39;39;0;266;273;1.27955108532625E14;1.2784581560310856E14;1.27945227635916E14
100;2023-03-05T16:40:08.319060000;1.49978625E8;39;39;0;266;273;1.27936236809833E14;1.2784698906567214E14;1.27946386780625E14
101;2023-03-05T16:40:09.475385000;8.3496541E7;39;39;0;266;273;1.27957393179958E14;1.2784806645058462E14;1.27947476670083E14
102;2023-03-05T16:40:10.564503000;1.2745E8;39;39;0;266;273;1.27938482342E14;1.2784921440816498E14;1.27948609768125E14
103;2023-03-05T16:40:11.694589000;1.00664208E8;39;39;0;266;273;1.27959612475666E14;1.2785029920422484E14;1.27949713129916E14
104;2023-03-05T16:40:12.800445000;1.477005E8;39;39;0;266;273;1.27940718370416E14;1.2785146810423914E14;1.27950866062541E14
105;2023-03-05T16:40:13.962705000;1.23654375E8;39;39;0;266;273;1.27961880674125E14;1.2785258778101852E14;1.27952004316416E14
106;2023-03-05T16:40:15.088012000;8.137675E7;39;39;0;266;273;1.27943006031375E14;1.2785368915256031E14;1.27953087398375E14
107;2023-03-05T16:40:16.174552000;1.58031666E8;39;39;0;266;273;1.27964092613083E14;1.2785483721620919E14;1.27954250634375E14
108;2023-03-05T16:40:17.337838000;1.35050333E8;39;39;0;266;273;1.27945255944833E14;1.2785599017255102E14;1.27955390984958E14
109;2023-03-05T16:40:18.477814000;1.34324E8;39;39;0;266;273;1.27966395963916E14;1.2785711276811938E14;1.27956530276916E14
110;2023-03-05T16:40:19.619829000;1.18790958E8;39;39;0;266;273;1.27947538020041E14;1.278582534668373E14;1.27957656803208E14
111;2023-03-05T16:40:20.743770000;1.29435208E8;39;39;0;266;273;1.27968662010333E14;1.2785937830885253E14;1.27958791434791E14
112;2023-03-05T16:40:21.874592000;1.66132833E8;39;39;0;266;273;1.27949792875125E14;1.2786055377818556E14;1.27959958996875E14
113;2023-03-05T16:40:23.045881000;1.96463917E8;39;39;0;266;273;1.27970964207958E14;1.2786173813930744E14;1.27961160661625E14
114;2023-03-05T16:40:24.242658000;1.15944E8;39;39;0;266;273;1.27952161033458E14;1.2786286928156325E14;1.27962276945583E14
115;2023-03-05T16:40:25.369487000;1.41994792E8;39;39;0;266;273;1.2797328790125E14;1.278640016552861E14;1.27963429888291E14
116;2023-03-05T16:40:26.516028000;2.16839708E8;39;39;0;266;273;1.27954434487541E14;1.2786524195232797E14;1.27964651318333E14
117;2023-03-05T16:40:27.737954000;1.17853375E8;39;39;0;266;273;1.27975656461041E14;1.2786634502881419E14;1.27965774307E14
118;2023-03-05T16:40:28.861093000;1.35510834E8;39;39;0;266;273;1.27956779645916E14;1.278674983460215E14;1.2796691513175E14
119;2023-03-05T16:40:29.999346000;1.90290334E8;39;39;0;266;273;1.27977917941833E14;1.2786867270803911E14;1.27968108223916E14
120;2023-03-05T16:40:31.198781000;7.9553167E7;39;39;0;266;273;1.27959117423666E14;1.2786978534125458E14;1.27969196969625E14
121;2023-03-05T16:40:32.283446000;1.9781475E8;39;39;0;266;273;1.27980202136166E14;1.2787097148882622E14;1.27970399938375E14
122;2023-03-05T16:40:33.485427000;1.32226667E8;39;39;0;266;273;1.27961404163125E14;1.2787212269418322E14;1.27971536379708E14
123;2023-03-05T16:40:34.627079000;1.19186542E8;39;39;0;266;273;1.27982545857625E14;1.2787323455222823E14;1.27972665034541E14
124;2023-03-05T16:40:35.748495000;1.26257291E8;39;39;0;266;273;1.27963667315291E14;1.2787437818498284E14;1.27973793565416E14
125;2023-03-05T16:40:36.880062000;1.00753417E8;39;39;0;266;273;1.27984798931458E14;1.2787546820650175E14;1.27974899677E14
126;2023-03-05T16:40:37.985992000;1.33478625E8;39;39;0;266;273;1.27965904904333E14;1.2787662179045994E14;1.27976038372E14
127;2023-03-05T16:40:39.121241000;1.366215E8;39;39;0;266;273;1.2798704021375E14;1.2787774284944623E14;1.27977176805958E14
128;2023-03-05T16:40:40.261835000;1.04556458E8;39;39;0;266;273;1.27968180834833E14;1.2787886686988767E14;1.27978285381791E14
129;2023-03-05T16:40:41.367350000;1.27128875E8;39;39;0;266;273;1.27989286389375E14;1.2787997864297828E14;1.27979413510208E14
130;2023-03-05T16:40:42.499657000;1.0747775E8;39;39;0;266;273;1.27970418742541E14;1.278811056719334E14;1.27980526210958E14
131;2023-03-05T16:40:43.612327000;1.53800584E8;39;39;0;266;273;1.2799153145825E14;1.2788224809149483E14;1.27981685247875E14
132;2023-03-05T16:40:44.768242000;1.41845292E8;39;39;0;266;273;1.27972687418916E14;1.2788340597311278E14;1.27982829254791E14
133;2023-03-05T16:40:45.916964000;1.19996209E8;39;39;0;266;273;1.27993836181083E14;1.278845174616707E14;1.27983956168833E14
134;2023-03-05T16:40:47.042136000;1.16732208E8;39;39;0;266;273;1.27974961400541E14;1.2788565397795906E14;1.27985078124375E14
135;2023-03-05T16:40:48.164764000;1.23828167E8;39;39;0;266;273;1.27996084069666E14;1.278867669111581E14;1.27986207888208E14
136;2023-03-05T16:40:49.296794000;1.24282708E8;39;39;0;266;273;1.27977216254416E14;1.278879108893538E14;1.27987340529916E14
137;2023-03-05T16:40:50.426315000;2.49080958E8;39;39;0;266;273;1.27998345712625E14;1.2788915673245108E14;1.27988594782958E14
138;2023-03-05T16:40:51.681100000;1.09946208E8;39;39;0;266;273;1.27979600542458E14;1.2789028251174084E14;1.27989710480041E14
139;2023-03-05T16:40:52.796405000;1.18154792E8;39;39;0;266;273;1.28000715895625E14;1.2789138983509912E14;1.2799083404075E14
140;2023-03-05T16:40:53.919757000;1.13810125E8;39;39;0;266;273;1.27981839287166E14;1.2789252304729973E14;1.27991953088583E14
141;2023-03-05T16:40:55.036477000;1.33970917E8;39;39;0;266;273;1.28002956050125E14;1.2789364284377672E14;1.27993090010958E14
142;2023-03-05T16:40:56.175335000;1.3173775E8;39;39;0;266;273;1.27984094955291E14;1.2789479484376023E14;1.27994226682916E14
143;2023-03-05T16:40:57.312183000;1.16860834E8;39;39;0;266;273;1.28005231847541E14;1.2789590029654331E14;1.27995348699E14
144;2023-03-05T16:40:58.431141000;1.00129333E8;39;39;0;266;273;1.27986350845875E14;1.2789701844278222E14;1.27996450967666E14
145;2023-03-05T16:40:59.536487000;1.7853625E8;39;39;0;266;273;1.28007456242125E14;1.2789818193434255E14;1.27997634768458E14
146;2023-03-05T16:41:00.719366000;2.24526667E8;39;39;0;266;273;1.27988639160958E14;1.2789942524042127E14;1.27998863676791E14
147;2023-03-05T16:41:01.947466000;8.7535791E7;39;39;0;266;273;1.28009867307E14;1.2790050388759536E14;1.27999954836083E14
148;2023-03-05T16:41:03.039812000;1.27887959E8;39;39;0;266;273;1.27990959700291E14;1.2790164969493619E14;1.28001087578791E14
149;2023-03-05T16:41:04.172806000;1.49388E8;39;39;0;266;273;1.28012092740125E14;1.279027889954177E14;1.28002242117375E14
150;2023-03-05T16:41:05.331453000;1.36826791E8;39;39;0;266;273;1.279932514275E14;1.2790394850965788E14;1.28003388247666E14
151;2023-03-05T16:41:06.473366000;1.95738708E8;39;39;0;266;273;1.28014393388041E14;1.2790513385313262E14;1.28004589118583E14
152;2023-03-05T16:41:07.674266000;1.491565E8;39;39;0;266;273;1.279955943375E14;1.2790630301719542E14;1.28005743485458E14
153;2023-03-05T16:41:08.828559000;8.6269709E7;39;39;0;266;273;1.2801674867475E14;1.2790737877256355E14;1.28006834933916E14
154;2023-03-05T16:41:09.919959000;1.43577E8;39;39;0;266;273;1.27997840117916E14;1.2790854176611023E14;1.28007983685625E14
155;2023-03-05T16:41:11.074190000;1.13221E8;39;39;0;266;273;1.28018994385833E14;1.279096495080513E14;1.28009107598291E14
156;2023-03-05T16:41:12.188025000;1.23224166E8;39;39;0;266;273;1.2800010827175E14;1.2791078727996866E14;1.28010231485125E14
157;2023-03-05T16:41:13.314886000;1.407305E8;39;39;0;266;273;1.28021235175416E14;1.2791191522708548E14;1.28011375896291E14
158;2023-03-05T16:41:14.460722000;1.09473792E8;39;39;0;266;273;1.28002381055708E14;1.279130452712002E14;1.28012490521E14
159;2023-03-05T16:41:15.575304000;1.33036666E8;39;39;0;266;273;1.28023495678083E14;1.2791416620627695E14;1.28013628705958E14
160;2023-03-05T16:41:16.715060000;1.15922959E8;39;39;0;266;273;1.28004635479708E14;1.279153040977872E14;1.28014751392291E14
161;2023-03-05T16:41:17.831991000;1.23660375E8;39;39;0;266;273;1.28025752453916E14;1.2791641152396511E14;1.2801587610525E14
162;2023-03-05T16:41:18.961600000;1.32194625E8;39;39;0;266;273;1.28006882109875E14;1.2791756402935462E14;1.28017014295208E14
163;2023-03-05T16:41:20.098897000;1.31220292E8;39;39;0;266;273;1.2802801944775E14;1.2791868399047716E14;1.28018150660416E14
164;2023-03-05T16:41:21.235298000;2.54847042E8;39;39;0;266;273;1.28009155895083E14;1.2791995791853356E14;1.280194107335E14
165;2023-03-05T16:41:22.495260000;1.90145708E8;39;39;0;266;273;1.28030415908375E14;1.2792113786338675E14;1.28020606044833E14
166;2023-03-05T16:41:23.690533000;1.43016375E8;39;39;0;266;273;1.28011611226958E14;1.2792230121616681E14;1.2802175423375E14
167;2023-03-05T16:41:24.838424000;1.07988959E8;39;39;0;266;273;1.28032759165208E14;1.279233972269981E14;1.28022867143166E14
168;2023-03-05T16:41:25.951660000;1.30202666E8;39;39;0;266;273;1.28013872438958E14;1.2792454329212633E14;1.28024002632083E14
169;2023-03-05T16:41:27.087783000;1.23920833E8;39;39;0;266;273;1.28035008605833E14;1.2792566058730925E14;1.28025132516125E14
170;2023-03-05T16:41:28.219652000;1.18271625E8;39;39;0;266;273;1.28016140520875E14;1.2792680264866164E14;1.28026258783875E14
171;2023-03-05T16:41:29.343034000;1.32016792E8;39;39;0;266;273;1.28037263950125E14;1.2792792324296481E14;1.28027395943625E14
172;2023-03-05T16:41:30.480173000;1.04336792E8;39;39;0;266;273;1.2801840113475E14;1.2792904743393258E14;1.28028505461708E14
173;2023-03-05T16:41:31.589798000;1.6880375E8;39;39;0;266;273;1.28039510797416E14;1.279302023110494E14;1.28029679591666E14
174;2023-03-05T16:41:32.765048000;2.08446625E8;39;39;0;266;273;1.280206860935E14;1.2793143352140725E14;1.28030894531875E14
175;2023-03-05T16:41:33.978808000;9.8756709E7;39;39;0;266;273;1.2804189990625E14;1.2793252272330398E14;1.2803199865275E14
176;2023-03-05T16:41:35.082716000;1.41405583E8;39;39;0;266;273;1.28023003852041E14;1.2793368394676461E14;1.28033145248416E14
177;2023-03-05T16:41:36.229224000;1.13393291E8;39;39;0;266;273;1.28044150404958E14;1.2793478564833273E14;1.28034263788333E14
178;2023-03-05T16:41:37.344034000;1.5816475E8;39;39;0;266;273;1.28025265259958E14;1.2793596054930319E14;1.28035423415791E14
179;2023-03-05T16:41:38.507297000;2.05334208E8;39;39;0;266;273;1.28046428569458E14;1.2793715352930138E14;1.28036633877416E14
180;2023-03-05T16:41:39.717665000;1.4018225E8;39;39;0;266;273;1.28027638984791E14;1.2793831413091675E14;1.28037779157208E14
181;2023-03-05T16:41:40.859301000;1.48545167E8;39;39;0;266;273;1.28048780665083E14;1.279394415179005E14;1.28038929198666E14
182;2023-03-05T16:41:42.014024000;1.82775041E8;39;39;0;266;273;1.28029935430875E14;1.2794065095435364E14;1.28040118198416E14
183;2023-03-05T16:41:43.201931000;1.48399208E8;39;39;0;266;273;1.28051123387291E14;1.2794178808403267E14;1.28041271776625E14
184;2023-03-05T16:41:44.353248000;1.11988875E8;39;39;0;266;273;1.28032274749375E14;1.2794291761541497E14;1.28042386729791E14
185;2023-03-05T16:41:45.472669000;1.12510959E8;39;39;0;266;273;1.28053394469625E14;1.2794402169555069E14;1.28043506713833E14
186;2023-03-05T16:41:46.590301000;1.4330875E8;39;39;0;266;273;1.280345118895E14;1.279451843038851E14;1.28044655188583E14
187;2023-03-05T16:41:47.738727000;1.21314667E8;39;39;0;266;273;1.28055660356458E14;1.2794629478446758E14;1.280457816635E14
188;2023-03-05T16:41:48.862262000;1.22522791E8;39;39;0;266;273;1.28036783936291E14;1.2794743425029108E14;1.28046906448416E14
189;2023-03-05T16:41:49.989898000;1.09596791E8;39;39;0;266;273;1.28057911616E14;1.279485328731016E14;1.28048021205541E14
190;2023-03-05T16:41:51.104636000;1.14088208E8;39;39;0;266;273;1.28039026399375E14;1.2794966583841088E14;1.28049140477291E14
191;2023-03-05T16:41:52.223891000;1.50752541E8;39;39;0;266;273;1.28060145699875E14;1.2795080527444927E14;1.2805029644325E14
192;2023-03-05T16:41:53.377847000;1.19096584E8;39;39;0;266;273;1.2804129969825E14;1.2795194290587728E14;1.28051418786083E14
193;2023-03-05T16:41:54.502089000;1.26790708E8;39;39;0;266;273;1.28062423986666E14;1.2795305775400688E14;1.28052550768375E14
194;2023-03-05T16:41:55.634027000;1.325925E8;39;39;0;266;273;1.2804355596925E14;1.279542105917767E14;1.28053688550291E14
195;2023-03-05T16:41:56.771840000;8.1188416E7;39;39;0;266;273;1.28064693825791E14;1.2795528150561775E14;1.28054775004375E14
196;2023-03-05T16:41:57.858095000;1.4795225E8;39;39;0;266;273;1.28045780122375E14;1.279564482208634E14;1.28055928065458E14
197;2023-03-05T16:41:59.010876000;1.22168167E8;39;39;0;266;273;1.2806693294725E14;1.2795755919855289E14;1.28057055108E14
198;2023-03-05T16:42:00.138186000;1.20043E8;39;39;0;266;273;1.28048060303666E14;1.2795869945719284E14;1.28058180338791E14
199;2023-03-05T16:42:01.264519000;1.08617959E8;39;39;0;266;273;1.28069186680791E14;1.2795979839315462E14;1.28059295289458E14
200;2023-03-05T16:42:02.378240000;1.48896375E8;39;39;0;266;273;1.28050300444041E14;1.2796096398048842E14;1.28060449331541E14
201;2023-03-05T16:42:03.532285000;9.6645666E7;39;39;0;266;273;1.28071454534416E14;1.2796205230395528E14;1.28061551169583E14
202;2023-03-05T16:42:04.634048000;1.26350292E8;39;39;0;266;273;1.2805255633575E14;1.2796319750093061E14;1.28062682676083E14
203;2023-03-05T16:42:05.761203000;1.32273833E8;39;39;0;266;273;1.28073683536833E14;1.2796431469739684E14;1.28063815801916E14
204;2023-03-05T16:42:06.899203000;1.234155E8;39;39;0;266;273;1.28054821583083E14;1.2796545889267789E14;1.28064944989708E14
205;2023-03-05T16:42:08.027745000;1.308635E8;39;39;0;266;273;1.28075950167666E14;1.2796657715478133E14;1.2806608102025E14
206;2023-03-05T16:42:09.163723000;1.33726583E8;39;39;0;266;273;1.28057086188541E14;1.2796773021039666E14;1.280672198985E14
207;2023-03-05T16:42:10.302591000;1.99002458E8;39;39;0;266;273;1.28078225102916E14;1.2796891853655625E14;1.28068424096416E14
208;2023-03-05T16:42:11.514486000;3.55801375E8;39;39;0;266;273;1.28059437042875E14;1.2797029014185384E14;1.28069792820875E14
209;2023-03-05T16:42:12.872436000;1.62662375E8;39;39;0;266;273;1.28080795051041E14;1.2797144781289819E14;1.28070957702375E14
210;2023-03-05T16:42:14.040222000;1.03312583E8;39;39;0;266;273;1.28061962882125E14;1.279725726413043E14;1.28072066182958E14
211;2023-03-05T16:42:15.155631000;1.11838125E8;39;39;0;266;273;1.28083078330791E14;1.279736816929769E14;1.28073190160166E14
212;2023-03-05T16:42:16.273915000;1.33219334E8;39;39;0;266;273;1.28064196664666E14;1.2797482283517E14;1.28074329869375E14
213;2023-03-05T16:42:17.411197000;1.29141166E8;39;39;0;266;273;1.28085333984041E14;1.2797595003196705E14;1.28075463117083E14
214;2023-03-05T16:42:18.545540000;1.243025E8;39;39;0;266;273;1.28066468374541E14;1.2797709443107469E14;1.28076592668083E14
215;2023-03-05T16:42:19.678945000;2.0113325E8;39;39;0;266;273;1.28087601819708E14;1.2797828138972753E14;1.28077802932041E14
216;2023-03-05T16:42:20.896332000;1.25714541E8;39;39;0;266;273;1.28068819257666E14;1.2797944658267512E14;1.28078944961916E14
217;2023-03-05T16:42:22.038469000;1.08246084E8;39;39;0;266;273;1.28089961436666E14;1.2798055573009017E14;1.28080069675083E14
218;2023-03-05T16:42:23.160483000;1.21672E8;39;39;0;266;273;1.28071083498333E14;1.2798170637989778E14;1.280812051615E14
219;2023-03-05T16:42:24.287343000;1.24331375E8;39;39;0;266;273;1.28092210403166E14;1.2798281958934348E14;1.28082334724958E14
220;2023-03-05T16:42:25.413021000;1.38072E8;39;39;0;266;273;1.28073336123416E14;1.2798397250813858E14;1.28083474186166E14
221;2023-03-05T16:42:26.556232000;1.24433792E8;39;39;0;266;273;1.28094479380333E14;1.2798508673108192E14;1.28084603805791E14
222;2023-03-05T16:42:27.682616000;8.8609458E7;39;39;0;266;273;1.28075605803291E14;1.2798619181741067E14;1.28085694405125E14
223;2023-03-05T16:42:28.780657000;3.15550459E8;39;39;0;266;273;1.2809670388975E14;1.2798749136796066E14;1.28087019429583E14
224;2023-03-05T16:42:30.100251000;2.13335708E8;39;39;0;266;273;1.2807802353425E14;1.2798872912411144E14;1.28088236860625E14
225;2023-03-05T16:42:31.318474000;1.0461425E8;39;39;0;266;273;1.28099241808791E14;1.2798982540008573E14;1.28089346410208E14
