Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
44;119.056375;39;39;0;266;272;1.27881550235791E14;1.2778089552551272E14
45;105.938709;39;39;0;266;272;1.27882719658208E14;1.2778202206913933E14
46;80.941875;39;39;0;266;272;1.27883831098166E14;1.2778313570345627E14
47;117.216084;39;39;0;266;272;1.27884930122375E14;1.2778425034513512E14
48;112.116792;39;39;0;266;272;1.27886066966791E14;1.277853948857485E14
49;103.60775;39;39;0;266;272;1.27887189337541E14;1.2778649626193177E14
50;124.567;39;39;0;266;272;1.27888306582291E14;1.2778764940358528E14
51;122.578416;39;39;0;266;272;1.27889451486291E14;1.277887708703629E14
52;100.015208;39;39;0;266;272;1.278905844855E14;1.2778990286844364E14
53;120.243542;39;39;0;266;272;1.27891742854583E14;1.2779102471712405E14
54;110.914625;39;39;0;266;272;1.27892825763791E14;1.2779215379417103E14
55;150.309542;39;39;0;266;272;1.27893949665666E14;1.2779329781733139E14
56;240.964375;39;39;0;266;272;1.27895117711208E14;1.2779456658859206E14
57;233.210084;39;39;0;266;272;1.27896369134333E14;1.277957941502781E14
58;195.563291;39;39;0;266;272;1.2789761317025E14;1.2779701934412256E14
59;141.042167;39;39;0;266;272;1.27898824089583E14;1.2779815863921006E14
60;216.492083;39;39;0;266;272;1.278999901005E14;1.2779941376336425E14
61;84.6485;39;39;0;266;272;1.27901224916583E14;1.2780050545147442E14
62;119.084917;39;39;0;266;272;1.27902325117416E14;1.2780165350062573E14
63;112.493125;39;39;0;266;272;1.27903457054208E14;1.2780276221177598E14
64;102.096541;39;39;0;266;272;1.27904591844833E14;1.2780390035597605E14
65;132.988292;39;39;0;266;272;1.27905721004875E14;1.2780503362750139E14
66;83.926208;39;39;0;266;272;1.27906854702666E14;1.2780614467874172E14
67;127.466166;39;39;0;266;272;1.27907968430333E14;1.2780728134141617E14
68;119.833583;39;39;0;266;272;1.27909110616041E14;1.278084243046305E14
69;77.375166;39;39;0;266;272;1.27910237389708E14;1.2780950189764725E14
70;151.991;39;39;0;266;272;1.27911330782916E14;1.2781067722767634E14
71;115.857167;39;39;0;266;272;1.27912495530125E14;1.2781179546951495E14
72;203.261208;39;39;0;266;272;1.27913624629333E14;1.2781302521256511E14
73;136.253125;39;39;0;266;272;1.27914840530125E14;1.2781415947176408E14
74;137.798708;39;39;0;266;272;1.27915989810458E14;1.2781532566448131E14
75;183.245208;39;39;0;266;272;1.27917153861375E14;1.2781651118297467E14
76;128.699709;39;39;0;266;272;1.27918341497208E14;1.278176659590024E14
77;112.020375;39;39;0;266;272;1.27919482565541E14;1.2781877147737498E14
78;114.327458;39;39;0;266;272;1.27920617797083E14;1.2781992470059584E14
79;102.514292;39;39;0;266;272;1.27921761105E14;1.2782103610140669E14
80;102.762709;39;39;0;266;272;1.27922881023958E14;1.2782217474856853E14
81;114.081125;39;39;0;266;272;1.27923990234083E14;1.2782327880460836E14
82;102.909417;39;39;0;266;272;1.27925122602625E14;1.2782441686420784E14
83;106.0485;39;39;0;266;272;1.27926251188083E14;1.2782552780159912E14
84;131.272709;39;39;0;266;272;1.27927375268708E14;1.2782669005040866E14
85;113.485375;39;39;0;266;272;1.27928509724708E14;1.2782779614238928E14
86;114.171875;39;39;0;266;272;1.27929634190041E14;1.2782893559834973E14
87;85.030167;39;39;0;266;272;1.27930752619083E14;1.2783001027439614E14
88;131.499083;39;39;0;266;272;1.27931855297458E14;1.2783117134512156E14
89;140.536625;39;39;0;266;272;1.27932993485458E14;1.2783229860391281E14
90;126.926791;39;39;0;266;272;1.2793416225975E14;1.2783346964971247E14
91;98.8105;39;39;0;266;272;1.279352897335E14;1.2783455667676603E14
92;273.914833;39;39;0;266;272;1.27936441212458E14;1.2783587893413036E14
93;199.017959;39;39;0;266;272;1.27937744760625E14;1.2783709619005327E14
94;203.438458;39;39;0;266;272;1.27938972351666E14;1.2783834019633422E14
95;301.434;39;39;0;266;272;1.27940254497791E14;1.2783968941880773E14
96;252.6525;39;39;0;266;272;1.27941616639125E14;1.2784103446083142E14
97;137.501;39;39;0;266;272;1.2794286849025E14;1.2784216320817772E14
98;81.883084;39;39;0;266;272;1.2794402298175E14;1.2784328248487827E14
99;117.571708;39;39;0;266;272;1.279451115935E14;1.2784438648701577E14
100;133.916;39;39;0;266;272;1.27946260768708E14;1.2784556077218617E14
101;77.293125;39;39;0;266;272;1.27947401323041E14;1.2784663818878938E14
102;120.982708;39;39;0;266;272;1.27948494009083E14;1.2784778619924314E14
103;98.77825;39;39;0;266;272;1.27949616633666E14;1.2784887086566534E14
104;138.655;39;39;0;266;272;1.27950734676333E14;1.2785003974660288E14
105;100.759541;39;39;0;266;272;1.27951905617041E14;1.278511594670174E14
106;80.419542;39;39;0;266;272;1.27953008976375E14;1.2785226097596181E14
107;154.019542;39;39;0;266;272;1.27954108683958E14;1.278534090026334E14
108;122.446833;39;39;0;266;272;1.27955273129791E14;1.2785456196535511E14
109;110.287167;39;39;0;266;272;1.27956425024208E14;1.2785568441916702E14
110;108.733541;39;39;0;266;272;1.279575547215E14;1.2785682526699314E14
111;112.284666;39;39;0;266;272;1.27958680929083E14;1.2785794998951688E14
112;157.188083;39;39;0;266;272;1.27959808080416E14;1.2785912558244584E14
113;192.414708;39;39;0;266;272;1.27960971546458E14;1.2786030995934736E14
114;112.88;39;39;0;266;272;1.27962168816541E14;1.2786144126642406E14
115;127.453417;39;39;0;266;272;1.27963306324E14;1.2786257339673706E14
116;210.687458;39;39;0;266;272;1.2796445784325E14;1.2786381381206283E14
