Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
69;4395154.347875;9;9;0;32;47;0.0;0.0
70;4395284.120791;10;10;0;36;47;0.0;0.0
71;4395411.1195;9;9;0;32;47;0.0;0.0
72;4395533.978208;9;9;0;32;47;0.0;0.0
73;4395655.192708;9;9;0;32;47;0.0;0.0
74;4395798.18775;9;9;0;32;47;0.0;0.0
75;4395918.908333;9;9;0;32;47;0.0;0.0
76;4396039.705708;9;9;0;32;47;0.0;0.0
77;4396157.73875;9;9;0;32;47;0.0;0.0
78;4396276.326916;9;9;0;32;47;0.0;0.0
79;4396393.282416;9;9;0;32;46;0.0;0.0
80;4396520.40225;9;9;0;32;47;0.0;0.0
81;4396669.074958;9;9;0;32;49;0.0;0.0
82;4396798.717291;9;9;0;32;47;0.0;0.0
83;4396921.424666;9;9;0;32;47;0.0;0.0
84;4397045.972583;9;9;0;32;47;0.0;0.0
85;4397173.556625;9;9;0;32;47;0.0;0.0
86;4397293.12925;9;9;0;32;47;0.0;0.0
87;4397419.013916;9;9;0;32;47;0.0;0.0
88;4397549.308666;9;9;0;32;47;0.0;0.0
89;4397666.578833;9;9;0;32;47;0.0;0.0
90;4397785.773041;9;9;0;32;47;0.0;0.0
91;4397907.059458;10;10;0;36;49;0.0;0.0
92;4398038.483333;9;9;0;32;47;0.0;0.0
93;4398162.07475;9;9;0;32;47;0.0;0.0
94;4398284.329333;9;9;0;32;47;0.0;0.0
95;4398409.513833;9;9;0;32;47;0.0;0.0
96;4398527.557458;9;9;0;32;47;0.0;0.0
97;4398656.200833;9;9;0;32;47;0.0;0.0
98;4398783.213833;9;9;0;32;47;0.0;0.0
99;4398900.476083;9;9;0;32;47;0.0;0.0
100;4399024.172583;9;9;0;32;47;0.0;0.0
101;4399147.174666;9;9;0;32;47;0.0;0.0
102;4399279.46125;9;9;0;32;47;0.0;0.0
103;4399410.656208;9;9;0;32;47;0.0;0.0
104;4399536.0915;9;9;0;32;47;0.0;0.0
105;4399656.8235;9;9;0;32;47;0.0;0.0
106;4399784.490708;9;9;0;32;46;0.0;0.0
107;4399910.229708;9;9;0;32;47;0.0;0.0
108;4400033.251083;9;9;0;32;47;0.0;0.0
109;4400160.370166;9;9;0;32;47;0.0;0.0
110;4400282.712416;9;9;0;32;47;0.0;0.0
111;4400408.993583;9;9;0;32;47;0.0;0.0
112;4400537.47025;9;9;0;32;47;0.0;0.0
113;4400658.072;9;9;0;32;47;0.0;0.0
114;4400779.010708;9;9;0;32;47;0.0;0.0
115;4400901.196125;9;9;0;32;47;0.0;0.0
