Id;StartingWallTime;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
130;2024-03-18T21:53:31.391794000;15.15275;9;9;0;32;47;0.0;0.0
131;2024-03-18T21:53:31.508772000;16.057292;9;9;0;32;47;0.0;0.0
132;2024-03-18T21:53:31.629768000;18.716375;9;9;0;32;47;0.0;0.0
133;2024-03-18T21:53:31.753084000;26.195333;9;9;0;32;47;0.0;0.0
134;2024-03-18T21:53:31.884426000;17.787833;9;9;0;32;46;0.0;0.0
135;2024-03-18T21:53:32.004939000;34.388167;9;9;0;32;47;0.0;0.0
136;2024-03-18T21:53:32.141515000;21.211584;9;9;0;32;47;0.0;0.0
137;2024-03-18T21:53:32.266422000;15.363375;10;10;0;36;50;0.0;0.0
138;2024-03-18T21:53:32.382580000;39.298542;9;9;0;32;47;0.0;0.0
139;2024-03-18T21:53:32.527052000;18.843833;10;10;0;36;48;0.0;0.0
140;2024-03-18T21:53:32.664136000;42.50675;9;9;0;32;47;0.0;0.0
141;2024-03-18T21:53:32.812030000;141.793542;9;9;0;32;47;0.0;0.0
142;2024-03-18T21:53:33.059135000;32.4005;9;9;0;32;46;0.0;0.0
143;2024-03-18T21:53:33.193234000;36.516667;9;9;0;32;46;0.0;0.0
144;2024-03-18T21:53:33.334947000;30.395791;9;9;0;32;47;0.0;0.0
145;2024-03-18T21:53:33.470333000;36.682334;9;9;0;32;47;0.0;0.0
146;2024-03-18T21:53:33.608339000;17.970958;9;9;0;32;47;0.0;0.0
147;2024-03-18T21:53:33.730833000;16.781459;9;9;0;32;47;0.0;0.0
148;2024-03-18T21:53:33.851399000;16.289667;9;9;0;32;47;0.0;0.0
149;2024-03-18T21:53:33.970400000;32.618583;9;9;0;32;47;0.0;0.0
150;2024-03-18T21:53:34.108194000;18.422292;9;9;0;32;47;0.0;0.0
151;2024-03-18T21:53:34.230179000;23.08975;9;9;0;32;47;0.0;0.0
152;2024-03-18T21:53:34.357454000;24.74975;9;9;0;32;47;0.0;0.0
153;2024-03-18T21:53:34.486469000;20.928125;9;9;0;32;47;0.0;0.0
154;2024-03-18T21:53:34.612636000;17.268;9;9;0;32;47;0.0;0.0
155;2024-03-18T21:53:34.735102000;19.0365;9;9;0;32;47;0.0;0.0
156;2024-03-18T21:53:34.858264000;20.693875;9;9;0;32;47;0.0;0.0
157;2024-03-18T21:53:34.984100000;29.095375;9;9;0;32;47;0.0;0.0
158;2024-03-18T21:53:35.118384000;19.86625;9;9;0;32;47;0.0;0.0
159;2024-03-18T21:53:35.240522000;19.6325;9;9;0;32;47;0.0;0.0
160;2024-03-18T21:53:35.362393000;30.151083;9;9;0;32;47;0.0;0.0
161;2024-03-18T21:53:35.494417000;18.69825;9;9;0;32;47;0.0;0.0
162;2024-03-18T21:53:35.617426000;21.767167;9;9;0;32;47;0.0;0.0
163;2024-03-18T21:53:35.742561000;19.080208;9;9;0;32;47;0.0;0.0
164;2024-03-18T21:53:35.866081000;21.702375;9;9;0;32;47;0.0;0.0
165;2024-03-18T21:53:35.992409000;26.206459;10;10;0;36;50;0.0;0.0
166;2024-03-18T21:53:36.123798000;20.600417;9;9;0;32;47;0.0;0.0
167;2024-03-18T21:53:36.249612000;17.888875;10;10;0;36;49;0.0;0.0
168;2024-03-18T21:53:36.372268000;27.982042;9;9;0;32;47;0.0;0.0
169;2024-03-18T21:53:36.500844000;18.397792;9;9;0;32;47;0.0;0.0
170;2024-03-18T21:53:36.620985000;25.377334;9;9;0;32;47;0.0;0.0
171;2024-03-18T21:53:36.751129000;18.077709;9;9;0;32;47;0.0;0.0
172;2024-03-18T21:53:36.874473000;35.124458;9;9;0;32;47;0.0;0.0
173;2024-03-18T21:53:37.014041000;17.530708;9;9;0;32;46;0.0;0.0
174;2024-03-18T21:53:37.135619000;18.018833;9;9;0;32;47;0.0;0.0
175;2024-03-18T21:53:37.255213000;18.25675;9;9;0;32;47;0.0;0.0
176;2024-03-18T21:53:37.378886000;22.352917;9;9;0;32;47;0.0;0.0
177;2024-03-18T21:53:37.503321000;18.892625;9;9;0;32;47;0.0;0.0
178;2024-03-18T21:53:37.627218000;21.86;10;10;0;36;50;0.0;0.0
179;2024-03-18T21:53:37.749863000;17.420666;9;9;0;32;46;0.0;0.0
180;2024-03-18T21:53:37.871979000;20.499792;9;9;0;32;47;0.0;0.0
181;2024-03-18T21:53:37.994094000;22.468375;9;9;0;32;47;0.0;0.0
182;2024-03-18T21:53:38.120344000;21.936167;9;9;0;32;47;0.0;0.0
183;2024-03-18T21:53:38.246361000;20.029625;9;9;0;32;47;0.0;0.0
184;2024-03-18T21:53:38.368452000;28.727792;9;9;0;32;47;0.0;0.0
185;2024-03-18T21:53:38.502360000;20.80925;9;9;0;32;47;0.0;0.0
186;2024-03-18T21:53:38.628416000;26.221791;9;9;0;32;47;0.0;0.0
187;2024-03-18T21:53:38.759020000;18.602792;9;9;0;32;47;0.0;0.0
188;2024-03-18T21:53:38.878195000;24.5785;9;9;0;32;47;0.0;0.0
189;2024-03-18T21:53:39.004392000;17.982166;9;9;0;32;47;0.0;0.0
190;2024-03-18T21:53:39.126781000;20.121041;9;9;0;32;47;0.0;0.0
191;2024-03-18T21:53:39.248994000;20.478708;9;9;0;32;47;0.0;0.0
192;2024-03-18T21:53:39.374749000;20.653625;9;9;0;32;47;0.0;0.0
193;2024-03-18T21:53:39.498021000;18.125958;9;9;0;32;47;0.0;0.0
194;2024-03-18T21:53:39.618987000;19.19225;9;9;0;32;47;0.0;0.0
195;2024-03-18T21:53:39.743404000;22.674542;9;9;0;32;47;0.0;0.0
196;2024-03-18T21:53:39.867227000;25.574291;9;9;0;32;47;0.0;0.0
197;2024-03-18T21:53:39.997956000;25.424375;9;9;0;32;47;0.0;0.0
198;2024-03-18T21:53:40.125672000;23.27275;9;9;0;32;47;0.0;0.0
199;2024-03-18T21:53:40.253972000;30.417208;9;9;0;32;47;0.0;0.0
200;2024-03-18T21:53:40.387851000;31.585792;9;9;0;32;47;0.0;0.0
201;2024-03-18T21:53:40.523579000;13.236875;9;9;0;32;49;0.0;0.0
202;2024-03-18T21:53:40.641982000;14.509667;9;9;0;32;47;0.0;0.0
203;2024-03-18T21:53:40.759125000;26.72525;9;9;0;32;47;0.0;0.0
204;2024-03-18T21:53:40.891088000;32.035209;9;9;0;32;46;0.0;0.0
205;2024-03-18T21:53:41.027788000;15.041375;9;9;0;32;47;0.0;0.0
206;2024-03-18T21:53:41.148024000;20.025041;9;9;0;32;47;0.0;0.0
207;2024-03-18T21:53:41.270230000;23.722375;9;9;0;32;46;0.0;0.0
208;2024-03-18T21:53:41.394563000;26.42575;9;9;0;32;47;0.0;0.0
209;2024-03-18T21:53:41.525693000;19.666041;9;9;0;32;47;0.0;0.0
210;2024-03-18T21:53:41.650506000;21.016209;9;9;0;32;47;0.0;0.0
211;2024-03-18T21:53:41.775139000;15.760416;9;9;0;32;47;0.0;0.0
212;2024-03-18T21:53:41.896070000;15.488083;9;9;0;32;47;0.0;0.0
213;2024-03-18T21:53:42.016717000;23.087958;9;9;0;32;47;0.0;0.0
214;2024-03-18T21:53:42.145003000;20.389125;9;9;0;32;47;0.0;0.0
215;2024-03-18T21:53:42.270620000;18.055709;9;9;0;32;46;0.0;0.0
216;2024-03-18T21:53:42.393318000;29.478459;9;9;0;32;47;0.0;0.0
217;2024-03-18T21:53:42.527921000;15.964958;9;9;0;32;48;0.0;0.0
218;2024-03-18T21:53:42.644448000;25.044083;9;9;0;32;47;0.0;0.0
219;2024-03-18T21:53:42.771126000;15.051041;9;9;0;32;47;0.0;0.0
220;2024-03-18T21:53:42.891768000;24.505;9;9;0;32;47;0.0;0.0
221;2024-03-18T21:53:43.022821000;28.658708;9;9;0;32;47;0.0;0.0
222;2024-03-18T21:53:43.156674000;15.674958;9;9;0;32;47;0.0;0.0
223;2024-03-18T21:53:43.277467000;13.06275;9;9;0;32;47;0.0;0.0
224;2024-03-18T21:53:43.395706000;19.338917;9;9;0;32;47;0.0;0.0
225;2024-03-18T21:53:43.517520000;34.688584;9;9;0;32;47;0.0;0.0
226;2024-03-18T21:53:43.657389000;15.362667;9;9;0;32;47;0.0;0.0
227;2024-03-18T21:53:43.777594000;17.346292;9;9;0;32;47;0.0;0.0
228;2024-03-18T21:53:43.897735000;26.347625;9;9;0;32;47;0.0;0.0
229;2024-03-18T21:53:44.027508000;15.649;9;9;0;32;47;0.0;0.0
230;2024-03-18T21:53:44.148272000;23.688209;9;9;0;32;47;0.0;0.0
231;2024-03-18T21:53:44.277112000;14.535959;9;9;0;32;47;0.0;0.0
232;2024-03-18T21:53:44.397447000;41.768625;9;9;0;32;47;0.0;0.0
233;2024-03-18T21:53:44.544179000;11.990458;9;9;0;32;47;0.0;0.0
234;2024-03-18T21:53:44.659891000;13.243;9;9;0;32;47;0.0;0.0
235;2024-03-18T21:53:44.777538000;13.165417;9;9;0;32;47;0.0;0.0
236;2024-03-18T21:53:44.895820000;28.060666;9;9;0;32;47;0.0;0.0
237;2024-03-18T21:53:45.025539000;12.38775;9;9;0;32;47;0.0;0.0
238;2024-03-18T21:53:45.143056000;69.783;9;9;0;32;47;0.0;0.0
239;2024-03-18T21:53:45.318310000;106.355833;9;9;0;32;47;0.0;0.0
240;2024-03-18T21:53:45.529458000;17.917125;9;9;0;32;47;0.0;0.0
241;2024-03-18T21:53:45.652538000;16.787667;9;9;0;32;47;0.0;0.0
242;2024-03-18T21:53:45.772764000;18.438958;9;9;0;32;47;0.0;0.0
243;2024-03-18T21:53:45.896400000;18.775375;9;9;0;32;47;0.0;0.0
244;2024-03-18T21:53:46.017032000;34.141834;9;9;0;32;47;0.0;0.0
245;2024-03-18T21:53:46.155658000;15.036583;9;9;0;32;47;0.0;0.0
