type;receiverPort;reqIdInternal;Round;startWalltime;duration
HALTED;-1;162;3;1672694437058;0.724887
INITIALIZATION;-1;163;0;1672694437159;0.470244
APPROXIMATION;-1;163;1;1672694437161;0.558565
APPROXIMATION;-1;163;2;1672694437162;0.466174
HALTED;-1;163;3;1672694437209;0.519495
INITIALIZATION;-1;164;0;1672694437310;0.412963
APPROXIMATION;-1;164;1;1672694437312;0.510535
APPROXIMATION;-1;164;2;1672694437313;0.505615
HALTED;-1;164;3;1672694437314;0.489854
INITIALIZATION;-1;165;0;1672694437415;0.481954
APPROXIMATION;-1;165;1;1672694437416;0.677836
APPROXIMATION;-1;165;2;1672694437417;0.518675
HALTED;-1;165;3;1672694437418;0.516785
INITIALIZATION;-1;166;0;1672694437518;0.496194
APPROXIMATION;-1;166;1;1672694437520;0.519074
APPROXIMATION;-1;166;2;1672694437521;0.531595
HALTED;-1;166;3;1672694437522;0.618096
INITIALIZATION;-1;167;0;1672694437623;0.489584
APPROXIMATION;-1;167;1;1672694437624;0.608895
APPROXIMATION;-1;167;2;1672694437626;0.510814
HALTED;-1;167;3;1672694437626;0.473414
INITIALIZATION;-1;168;0;1672694437727;0.472634
APPROXIMATION;-1;168;1;1672694437728;0.634046
APPROXIMATION;-1;168;2;1672694437729;0.559515
HALTED;-1;168;3;1672694437769;0.546905
INITIALIZATION;-1;169;0;1672694437870;0.432774
APPROXIMATION;-1;169;1;1672694437872;0.550604
APPROXIMATION;-1;169;2;1672694437872;0.512205
HALTED;-1;169;3;1672694437873;0.522025
INITIALIZATION;-1;170;0;1672694437974;0.459874
APPROXIMATION;-1;170;1;1672694437976;0.528134
APPROXIMATION;-1;170;2;1672694437977;0.632485
HALTED;-1;170;3;1672694437977;0.489294
INITIALIZATION;-1;171;0;1672694438078;0.498575
APPROXIMATION;-1;171;1;1672694438080;0.628565
APPROXIMATION;-1;171;2;1672694438080;0.458614
HALTED;-1;171;3;1672694438130;0.493295
INITIALIZATION;-1;172;0;1672694438230;0.439504
APPROXIMATION;-1;172;1;1672694438232;0.480534
APPROXIMATION;-1;172;2;1672694438232;0.508254
HALTED;-1;172;3;1672694438233;0.502374
INITIALIZATION;-1;173;0;1672694438334;0.496254
APPROXIMATION;-1;173;1;1672694438335;0.561585
APPROXIMATION;-1;173;2;1672694438336;0.547515
HALTED;-1;173;3;1672694438337;0.502524
INITIALIZATION;-1;174;0;1672694438438;0.523674
APPROXIMATION;-1;174;1;1672694438441;0.545485
APPROXIMATION;-1;174;2;1672694438442;0.600265
HALTED;-1;174;3;1672694438442;0.580845
INITIALIZATION;-1;175;0;1672694438544;0.626006
APPROXIMATION;-1;175;1;1672694438614;0.682446
APPROXIMATION;-1;175;2;1672694438615;0.462164
HALTED;-1;175;3;1672694438615;0.406554
INITIALIZATION;-1;176;0;1672694438716;0.476574
APPROXIMATION;-1;176;1;1672694438718;0.684036
APPROXIMATION;-1;176;2;1672694438719;0.608455
HALTED;-1;176;3;1672694438720;0.519755
INITIALIZATION;-1;177;0;1672694438821;0.514574
APPROXIMATION;-1;177;1;1672694438822;0.594216
APPROXIMATION;-1;177;2;1672694438823;0.538385
HALTED;-1;177;3;1672694438870;0.534665
INITIALIZATION;-1;178;0;1672694438971;0.427154
APPROXIMATION;-1;178;1;1672694438972;0.521284
APPROXIMATION;-1;178;2;1672694438973;0.672546
HALTED;-1;178;3;1672694438974;0.645846
INITIALIZATION;-1;179;0;1672694439075;0.465924
APPROXIMATION;-1;179;1;1672694439076;0.524105
APPROXIMATION;-1;179;2;1672694439077;0.642816
HALTED;-1;179;3;1672694439078;0.598025
INITIALIZATION;-1;180;0;1672694439179;0.481384
APPROXIMATION;-1;180;1;1672694439180;0.622135
APPROXIMATION;-1;180;2;1672694439181;0.567705
HALTED;-1;180;3;1672694439182;0.538585
INITIALIZATION;-1;181;0;1672694439283;0.519855
APPROXIMATION;-1;181;1;1672694439284;0.524495
APPROXIMATION;-1;181;2;1672694439285;0.554285
HALTED;-1;181;3;1672694439329;0.518855
INITIALIZATION;-1;182;0;1672694439430;0.459794
APPROXIMATION;-1;182;1;1672694439432;0.598346
APPROXIMATION;-1;182;2;1672694439433;0.584405
HALTED;-1;182;3;1672694439434;0.538755
INITIALIZATION;-1;183;0;1672694439535;0.466534
APPROXIMATION;-1;183;1;1672694439536;0.587525
APPROXIMATION;-1;183;2;1672694439538;0.557365
HALTED;-1;183;3;1672694439539;0.723987
INITIALIZATION;-1;184;0;1672694439640;0.571375
APPROXIMATION;-1;184;1;1672694439641;0.536274
APPROXIMATION;-1;184;2;1672694439642;0.429163
HALTED;-1;184;3;1672694439690;0.490364
INITIALIZATION;-1;185;0;1672694439791;0.468284
APPROXIMATION;-1;185;1;1672694439792;0.667406
APPROXIMATION;-1;185;2;1672694439793;0.648616
HALTED;-1;185;3;1672694439795;0.503895
INITIALIZATION;-1;186;0;1672694439896;0.507465
APPROXIMATION;-1;186;1;1672694439899;0.597545
APPROXIMATION;-1;186;2;1672694439900;0.564655
HALTED;-1;186;3;1672694439901;0.544465
INITIALIZATION;-1;187;0;1672694440002;0.510975
APPROXIMATION;-1;187;1;1672694440003;0.751286
APPROXIMATION;-1;187;2;1672694440005;0.617165
HALTED;-1;187;3;1672694440006;0.564805
INITIALIZATION;-1;188;0;1672694440107;0.484975
APPROXIMATION;-1;188;1;1672694440108;0.550325
APPROXIMATION;-1;188;2;1672694440109;0.551585
HALTED;-1;188;3;1672694440149;0.485834
INITIALIZATION;-1;189;0;1672694440250;0.474944
APPROXIMATION;-1;189;1;1672694440252;0.524225
APPROXIMATION;-1;189;2;1672694440252;0.482014
HALTED;-1;189;3;1672694440253;0.519314
INITIALIZATION;-1;190;0;1672694440354;0.455474
APPROXIMATION;-1;190;1;1672694440356;0.561515
APPROXIMATION;-1;190;2;1672694440357;0.486044
HALTED;-1;190;3;1672694440358;0.518525
INITIALIZATION;-1;191;0;1672694440459;0.509895
APPROXIMATION;-1;191;1;1672694440460;0.678266
APPROXIMATION;-1;191;2;1672694440461;0.524104
HALTED;-1;191;3;1672694440462;0.639415
INITIALIZATION;-1;192;0;1672694440564;0.645516
APPROXIMATION;-1;192;1;1672694440565;0.721736
APPROXIMATION;-1;192;2;1672694440567;0.534645
HALTED;-1;192;3;1672694440568;0.468154
INITIALIZATION;-1;193;0;1672694440668;0.499404
APPROXIMATION;-1;193;1;1672694440670;0.710536
APPROXIMATION;-1;193;2;1672694440671;0.536765
HALTED;-1;193;3;1672694440672;0.353133
INITIALIZATION;-1;194;0;1672694440773;0.497455
APPROXIMATION;-1;194;1;1672694440775;0.601375
APPROXIMATION;-1;194;2;1672694440776;0.557225
HALTED;-1;194;3;1672694440777;0.507954
INITIALIZATION;-1;195;0;1672694440878;0.496474
APPROXIMATION;-1;195;1;1672694440879;0.722217
APPROXIMATION;-1;195;2;1672694440880;0.478775
HALTED;-1;195;3;1672694440881;0.432134
