Id;Texec;expectedH;realH;timedOutRounds;neededMessages;processedMessages;initialV;endingV
118;6.252209;10;10;0;27;30;0.0;0.0
119;5.951958;10;10;0;27;30;0.0;0.0
120;6.2175;10;10;0;27;30;0.0;0.0
121;8.703;10;10;0;27;30;0.0;0.0
122;6.04775;10;10;0;27;30;0.0;0.0
123;6.815;10;10;0;27;30;0.0;0.0
124;7.8675;10;10;0;27;30;0.0;0.0
125;6.683917;10;10;0;27;30;0.0;0.0
126;8.857583;10;10;0;27;30;0.0;0.0
127;5.926166;10;10;0;27;30;0.0;0.0
128;5.931167;10;10;0;27;30;0.0;0.0
129;6.111667;10;10;0;27;30;0.0;0.0
130;6.348583;10;10;0;27;30;0.0;0.0
131;6.009083;10;10;0;27;30;0.0;0.0
132;6.107;10;10;0;27;30;0.0;0.0
133;6.246291;10;10;0;27;30;0.0;0.0
134;6.392625;10;10;0;27;30;0.0;0.0
135;6.120208;10;10;0;27;30;0.0;0.0
136;6.385416;10;10;0;27;30;0.0;0.0
137;6.88825;10;10;0;27;30;0.0;0.0
138;6.355334;10;10;0;27;30;0.0;0.0
139;6.528708;10;10;0;27;30;0.0;0.0
140;6.448458;10;10;0;27;30;0.0;0.0
141;6.269292;10;10;0;27;30;0.0;0.0
142;6.397125;10;10;0;27;30;0.0;0.0
143;6.020375;10;10;0;27;30;0.0;0.0
144;6.257291;10;10;0;27;30;0.0;0.0
145;6.381041;10;10;0;27;30;0.0;0.0
146;6.1815;10;10;0;27;30;0.0;0.0
147;6.140959;10;10;0;27;30;0.0;0.0
148;6.17;10;10;0;27;30;0.0;0.0
149;15.6005;10;10;0;27;30;0.0;0.0
150;6.260792;10;10;0;27;30;0.0;0.0
151;6.005333;10;10;0;27;30;0.0;0.0
152;6.228;10;10;0;27;30;0.0;0.0
153;6.366417;10;10;0;27;30;0.0;0.0
154;6.198375;10;10;0;27;30;0.0;0.0
155;6.048042;10;10;0;27;30;0.0;0.0
156;6.772334;10;10;0;27;30;0.0;0.0
157;6.021041;10;10;0;27;30;0.0;0.0
158;6.034625;10;10;0;27;30;0.0;0.0
159;6.6585;10;10;0;27;30;0.0;0.0
160;5.519709;10;10;0;27;30;0.0;0.0
161;6.400042;10;10;0;27;30;0.0;0.0
162;6.293708;10;10;0;27;30;0.0;0.0
163;6.291875;10;10;0;27;30;0.0;0.0
164;8.233167;10;10;0;27;30;0.0;0.0
165;6.209625;10;10;0;27;30;0.0;0.0
166;6.132292;10;10;0;27;30;0.0;0.0
167;5.901458;10;10;0;27;30;0.0;0.0
168;6.50075;10;10;0;27;30;0.0;0.0
169;6.288334;10;10;0;27;30;0.0;0.0
170;7.686792;10;10;0;27;30;0.0;0.0
171;6.468458;10;10;0;27;30;0.0;0.0
172;6.011791;10;10;0;27;30;0.0;0.0
173;7.514792;10;10;0;27;30;0.0;0.0
174;6.431125;10;10;0;27;30;0.0;0.0
175;6.343291;10;10;0;27;30;0.0;0.0
176;6.370958;10;10;0;27;30;0.0;0.0
177;6.189417;10;10;0;27;30;0.0;0.0
178;6.634167;10;10;0;27;30;0.0;0.0
179;16.412791;10;10;0;27;30;0.0;0.0
180;5.790542;10;10;0;27;30;0.0;0.0
181;6.226375;10;10;0;27;30;0.0;0.0
182;6.023959;10;10;0;27;30;0.0;0.0
183;13.080875;10;10;0;27;30;0.0;0.0
184;6.445125;10;10;0;27;30;0.0;0.0
185;5.484875;10;10;0;27;30;0.0;0.0
186;6.177375;10;10;0;27;30;0.0;0.0
187;12.8715;10;10;0;27;30;0.0;0.0
188;5.72075;10;10;0;27;30;0.0;0.0
189;6.340625;10;10;0;27;30;0.0;0.0
190;6.127584;10;10;0;27;30;0.0;0.0
191;6.200583;10;10;0;27;30;0.0;0.0
192;10.558375;10;10;0;27;30;0.0;0.0
193;5.572333;10;10;0;27;30;0.0;0.0
194;6.067958;10;10;0;27;30;0.0;0.0
195;6.267417;10;10;0;27;30;0.0;0.0
196;6.253458;10;10;0;27;30;0.0;0.0
197;6.034834;10;10;0;27;30;0.0;0.0
198;5.993292;10;10;0;27;30;0.0;0.0
199;5.861042;10;10;0;27;30;0.0;0.0
200;5.998292;10;10;0;27;30;0.0;0.0
201;6.20475;10;10;0;27;30;0.0;0.0
202;6.125625;10;10;0;27;30;0.0;0.0
203;6.121458;10;10;0;27;30;0.0;0.0
204;6.542209;10;10;0;27;30;0.0;0.0
205;6.055458;10;10;0;27;30;0.0;0.0
206;5.938125;10;10;0;27;30;0.0;0.0
207;6.380542;10;10;0;27;30;0.0;0.0
208;6.326917;10;10;0;27;30;0.0;0.0
209;5.836625;10;10;0;27;30;0.0;0.0
210;6.151958;10;10;0;27;30;0.0;0.0
211;6.363166;10;10;0;27;30;0.0;0.0
212;6.190958;10;10;0;27;30;0.0;0.0
213;13.492834;10;10;0;27;30;0.0;0.0
214;5.485791;10;10;0;27;30;0.0;0.0
215;6.145875;10;10;0;27;30;0.0;0.0
216;6.361958;10;10;0;27;30;0.0;0.0
217;8.249625;10;10;0;27;30;0.0;0.0
218;5.714625;10;10;0;27;30;0.0;0.0
219;6.328;10;10;0;27;30;0.0;0.0
220;7.165084;10;10;0;27;30;0.0;0.0
221;8.182;10;10;0;27;30;0.0;0.0
222;5.809542;10;10;0;27;30;0.0;0.0
223;6.562833;10;10;0;27;30;0.0;0.0
224;6.338583;10;10;0;27;30;0.0;0.0
225;6.057708;10;10;0;27;30;0.0;0.0
226;5.987583;10;10;0;27;30;0.0;0.0
227;6.262375;10;10;0;27;30;0.0;0.0
228;6.41175;10;10;0;27;30;0.0;0.0
229;7.070625;10;10;0;27;30;0.0;0.0
