type;receiverPort;reqIdInternal;Round;startWalltime;duration
APPROXIMATION;-1;109;12;1672694726443;0.260912
APPROXIMATION;-1;109;13;1672694726444;0.281493
HALTED;-1;109;14;1672694726444;0.278542
INITIALIZATION;-1;110;0;1672694726546;0.764686
APPROXIMATION;-1;110;1;1672694726548;0.338913
APPROXIMATION;-1;110;2;1672694726549;0.312943
APPROXIMATION;-1;110;3;1672694726549;0.241902
APPROXIMATION;-1;110;4;1672694726550;0.233142
APPROXIMATION;-1;110;5;1672694726550;0.239792
APPROXIMATION;-1;110;6;1672694726551;0.286892
APPROXIMATION;-1;110;7;1672694726552;0.303862
APPROXIMATION;-1;110;8;1672694726552;0.267003
APPROXIMATION;-1;110;9;1672694726553;0.256623
APPROXIMATION;-1;110;10;1672694726553;0.291693
APPROXIMATION;-1;110;11;1672694726554;0.291312
APPROXIMATION;-1;110;12;1672694726554;0.288312
APPROXIMATION;-1;110;13;1672694726555;0.282593
HALTED;-1;110;14;1672694726555;0.229312
INITIALIZATION;-1;111;0;1672694726658;0.407824
APPROXIMATION;-1;111;1;1672694726658;0.318863
APPROXIMATION;-1;111;2;1672694726659;0.419914
APPROXIMATION;-1;111;3;1672694726660;0.350863
APPROXIMATION;-1;111;4;1672694726700;0.319003
APPROXIMATION;-1;111;5;1672694726700;0.276843
APPROXIMATION;-1;111;6;1672694726701;0.231752
APPROXIMATION;-1;111;7;1672694726702;0.287402
APPROXIMATION;-1;111;8;1672694726702;0.272082
APPROXIMATION;-1;111;9;1672694726703;0.278682
APPROXIMATION;-1;111;10;1672694726703;0.284693
APPROXIMATION;-1;111;11;1672694726704;0.266292
APPROXIMATION;-1;111;12;1672694726704;0.249822
APPROXIMATION;-1;111;13;1672694726705;0.317263
HALTED;-1;111;14;1672694726705;0.221712
INITIALIZATION;-1;112;0;1672694726807;0.284452
APPROXIMATION;-1;112;1;1672694726808;0.262653
APPROXIMATION;-1;112;2;1672694726808;0.254723
APPROXIMATION;-1;112;3;1672694726809;0.272872
APPROXIMATION;-1;112;4;1672694726850;0.343633
APPROXIMATION;-1;112;5;1672694726851;0.253442
APPROXIMATION;-1;112;6;1672694726851;0.235532
APPROXIMATION;-1;112;7;1672694726852;0.243122
APPROXIMATION;-1;112;8;1672694726852;0.214092
APPROXIMATION;-1;112;9;1672694726853;0.211302
APPROXIMATION;-1;112;10;1672694726853;0.222942
APPROXIMATION;-1;112;11;1672694726854;0.227412
APPROXIMATION;-1;112;12;1672694726854;0.216552
APPROXIMATION;-1;112;13;1672694726855;0.262283
HALTED;-1;112;14;1672694726855;0.224962
INITIALIZATION;-1;113;0;1672694726957;0.816367
APPROXIMATION;-1;113;1;1672694726958;0.237193
APPROXIMATION;-1;113;2;1672694726959;0.228292
APPROXIMATION;-1;113;3;1672694726959;0.180232
APPROXIMATION;-1;113;4;1672694727000;0.631805
APPROXIMATION;-1;113;5;1672694727001;0.240742
APPROXIMATION;-1;113;6;1672694727002;0.302653
APPROXIMATION;-1;113;7;1672694727002;0.248032
APPROXIMATION;-1;113;8;1672694727002;0.238112
APPROXIMATION;-1;113;9;1672694727003;0.498514
APPROXIMATION;-1;113;10;1672694727003;0.308032
APPROXIMATION;-1;113;11;1672694727004;0.239592
APPROXIMATION;-1;113;12;1672694727004;0.264992
APPROXIMATION;-1;113;13;1672694727005;0.254832
HALTED;-1;113;14;1672694727005;0.317982
INITIALIZATION;-1;114;0;1672694727108;0.365343
APPROXIMATION;-1;114;1;1672694727108;0.373024
APPROXIMATION;-1;114;2;1672694727109;0.233903
APPROXIMATION;-1;114;3;1672694727109;0.262472
APPROXIMATION;-1;114;4;1672694727150;0.521954
APPROXIMATION;-1;114;5;1672694727151;0.218542
APPROXIMATION;-1;114;6;1672694727151;0.233003
APPROXIMATION;-1;114;7;1672694727152;0.238532
APPROXIMATION;-1;114;8;1672694727152;0.207762
APPROXIMATION;-1;114;9;1672694727153;0.198241
APPROXIMATION;-1;114;10;1672694727153;0.289742
APPROXIMATION;-1;114;11;1672694727154;0.224852
APPROXIMATION;-1;114;12;1672694727154;0.256362
APPROXIMATION;-1;114;13;1672694727155;0.233172
HALTED;-1;114;14;1672694727155;0.281272
INITIALIZATION;-1;115;0;1672694727257;0.340943
APPROXIMATION;-1;115;1;1672694727258;0.303263
APPROXIMATION;-1;115;2;1672694727258;0.300303
APPROXIMATION;-1;115;3;1672694727259;0.299132
APPROXIMATION;-1;115;4;1672694727300;0.500274
APPROXIMATION;-1;115;5;1672694727301;0.315112
APPROXIMATION;-1;115;6;1672694727301;0.316602
APPROXIMATION;-1;115;7;1672694727302;0.271563
APPROXIMATION;-1;115;8;1672694727302;0.305103
APPROXIMATION;-1;115;9;1672694727303;0.274543
APPROXIMATION;-1;115;10;1672694727303;0.307063
APPROXIMATION;-1;115;11;1672694727304;0.258522
APPROXIMATION;-1;115;12;1672694727304;0.282313
APPROXIMATION;-1;115;13;1672694727305;0.254802
HALTED;-1;115;14;1672694727305;0.273212
INITIALIZATION;-1;116;0;1672694727407;0.378154
APPROXIMATION;-1;116;1;1672694727408;0.262953
APPROXIMATION;-1;116;2;1672694727408;0.263912
APPROXIMATION;-1;116;3;1672694727449;0.612955
APPROXIMATION;-1;116;4;1672694727450;0.539775
APPROXIMATION;-1;116;5;1672694727451;0.229702
APPROXIMATION;-1;116;6;1672694727451;0.236712
APPROXIMATION;-1;116;7;1672694727452;0.231772
APPROXIMATION;-1;116;8;1672694727452;0.245412
APPROXIMATION;-1;116;9;1672694727453;0.225922
APPROXIMATION;-1;116;10;1672694727453;0.219402
APPROXIMATION;-1;116;11;1672694727454;0.314113
APPROXIMATION;-1;116;12;1672694727455;0.242102
APPROXIMATION;-1;116;13;1672694727455;0.512744
HALTED;-1;116;14;1672694727456;0.245063
INITIALIZATION;-1;117;0;1672694727557;0.338843
APPROXIMATION;-1;117;1;1672694727558;0.356363
APPROXIMATION;-1;117;2;1672694727559;0.404394
APPROXIMATION;-1;117;3;1672694727559;0.278863
APPROXIMATION;-1;117;4;1672694727600;0.370063
APPROXIMATION;-1;117;5;1672694727601;0.352333
APPROXIMATION;-1;117;6;1672694727601;0.337383
APPROXIMATION;-1;117;7;1672694727602;0.294122
