tid;type;receiverPort;reqIdInternal;Round;startWalltime;duration
pool-15-thread-1;INITIALIZATION;-1;12;0;1675070562316;3.758833
pool-15-thread-1;APPROXIMATION;-1;12;1;1675070562325;4.870125
pool-15-thread-1;APPROXIMATION;-1;12;2;1675070562331;4.507
pool-15-thread-1;HALTED;-1;12;3;1675070562336;5.460167
pool-15-thread-1;INITIALIZATION;-1;13;0;1675070562447;4.752709
pool-15-thread-1;APPROXIMATION;-1;13;1;1675070562464;23.590959
pool-15-thread-1;APPROXIMATION;-1;13;2;1675070562489;16.6495
pool-15-thread-1;HALTED;-1;13;3;1675070562507;12.756166
pool-15-thread-1;INITIALIZATION;-1;14;0;1675070562626;10.862
pool-15-thread-1;APPROXIMATION;-1;14;1;1675070562643;15.614916
pool-15-thread-1;APPROXIMATION;-1;14;2;1675070562661;13.033917
pool-15-thread-1;HALTED;-1;14;3;1675070562674;14.156458
pool-15-thread-1;INITIALIZATION;-1;15;0;1675070562792;24.832375
pool-15-thread-1;APPROXIMATION;-1;15;1;1675070562827;7.073875
pool-15-thread-1;APPROXIMATION;-1;15;2;1675070562836;7.52
pool-15-thread-1;HALTED;-1;15;3;1675070562844;6.740542
pool-15-thread-1;INITIALIZATION;-1;16;0;1675070562955;17.808791
pool-15-thread-1;APPROXIMATION;-1;16;1;1675070562983;15.679917
pool-15-thread-1;APPROXIMATION;-1;16;2;1675070563000;21.349541
pool-15-thread-1;HALTED;-1;16;3;1675070563025;13.282625
pool-15-thread-1;INITIALIZATION;-1;17;0;1675070563146;37.952625
pool-15-thread-1;APPROXIMATION;-1;17;1;1675070563199;16.555583
pool-15-thread-1;APPROXIMATION;-1;17;2;1675070563216;5.466542
pool-15-thread-1;HALTED;-1;17;3;1675070563223;8.2145
pool-15-thread-1;INITIALIZATION;-1;18;0;1675070563336;13.830792
pool-15-thread-1;APPROXIMATION;-1;18;1;1675070563363;5.434875
pool-15-thread-1;APPROXIMATION;-1;18;2;1675070563379;10.152542
pool-15-thread-1;HALTED;-1;18;3;1675070563390;7.069709
pool-15-thread-1;INITIALIZATION;-1;19;0;1675070563503;51.714875
pool-15-thread-1;APPROXIMATION;-1;19;1;1675070563577;7.846792
pool-15-thread-1;APPROXIMATION;-1;19;2;1675070563586;7.514667
pool-15-thread-1;HALTED;-1;19;3;1675070563594;6.020833
pool-15-thread-1;INITIALIZATION;-1;20;0;1675070563705;9.321542
pool-15-thread-1;APPROXIMATION;-1;20;1;1675070563726;18.049375
pool-15-thread-1;APPROXIMATION;-1;20;2;1675070563746;16.342041
pool-15-thread-1;HALTED;-1;20;3;1675070563763;17.577666
pool-15-thread-1;INITIALIZATION;-1;21;0;1675070563887;15.359709
pool-15-thread-1;APPROXIMATION;-1;21;1;1675070563911;19.938792
pool-15-thread-1;APPROXIMATION;-1;21;2;1675070563933;15.908958
pool-15-thread-1;HALTED;-1;21;3;1675070563951;11.219959
pool-15-thread-1;INITIALIZATION;-1;22;0;1675070564069;4.858
pool-15-thread-1;APPROXIMATION;-1;22;1;1675070564078;6.172333
pool-15-thread-1;APPROXIMATION;-1;22;2;1675070564085;7.767542
pool-15-thread-1;HALTED;-1;22;3;1675070564094;4.922375
pool-15-thread-1;INITIALIZATION;-1;23;0;1675070564203;2.619667
pool-15-thread-1;APPROXIMATION;-1;23;1;1675070564209;7.884834
pool-15-thread-1;APPROXIMATION;-1;23;2;1675070564218;5.339875
pool-15-thread-1;HALTED;-1;23;3;1675070564224;4.461125
pool-15-thread-1;INITIALIZATION;-1;24;0;1675070564335;6.011917
pool-15-thread-1;APPROXIMATION;-1;24;1;1675070564347;9.429167
pool-15-thread-1;APPROXIMATION;-1;24;2;1675070564357;18.019375
pool-15-thread-1;HALTED;-1;24;3;1675070564376;15.140958
pool-15-thread-1;INITIALIZATION;-1;25;0;1675070564498;15.118583
pool-15-thread-1;APPROXIMATION;-1;25;1;1675070564525;22.946917
pool-15-thread-1;APPROXIMATION;-1;25;2;1675070564549;17.749416
pool-15-thread-1;HALTED;-1;25;3;1675070564572;18.201125
pool-15-thread-1;INITIALIZATION;-1;26;0;1675070564693;3.292042
pool-15-thread-1;APPROXIMATION;-1;26;1;1675070564704;5.882
pool-15-thread-1;APPROXIMATION;-1;26;2;1675070564711;5.324792
pool-15-thread-1;HALTED;-1;26;3;1675070564717;4.259167
pool-15-thread-1;INITIALIZATION;-1;27;0;1675070564827;2.2785
pool-15-thread-1;APPROXIMATION;-1;27;1;1675070564832;2.984917
pool-15-thread-1;APPROXIMATION;-1;27;2;1675070564835;4.415542
pool-15-thread-1;HALTED;-1;27;3;1675070564840;10.962833
pool-15-thread-1;INITIALIZATION;-1;28;0;1675070564956;8.721792
pool-15-thread-1;APPROXIMATION;-1;28;1;1675070564971;6.638417
pool-15-thread-1;APPROXIMATION;-1;28;2;1675070564978;4.543375
pool-15-thread-1;HALTED;-1;28;3;1675070564983;3.915875
pool-15-thread-1;INITIALIZATION;-1;29;0;1675070565093;60.453959
pool-15-thread-1;APPROXIMATION;-1;29;1;1675070565176;28.317375
